DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
15-16,Stephen Curry,GSW,28.0,79.0,0.8987341772151899,71.0,8.0,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,50.3,15.0,2.0,12.9
15-16,James Harden,HOU,26.0,82.0,0.5,41.0,41.0,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,49.9,23.0,3.0,1.5
15-16,Kevin Durant,OKC,27.0,72.0,0.7222222222222222,52.0,20.0,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,48.5,27.0,1.0,9.0
15-16,DeMarcus Cousins,SAC,25.0,65.0,0.4461538461538462,29.0,36.0,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,50.7,47.0,1.0,0.6
15-16,LeBron James,CLE,31.0,76.0,0.7368421052631579,56.0,20.0,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28.0,3.0,8.1
15-16,Damian Lillard,POR,25.0,75.0,0.5333333333333333,40.0,35.0,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4.0,6.8,3.2,0.9,0.4,2.2,40.6,15.0,0.0,1.3
15-16,Anthony Davis,NOP,23.0,61.0,0.39344262295081966,24.0,37.0,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,47.5,36.0,0.0,-3.3
15-16,Russell Westbrook,OKC,27.0,80.0,0.6875,55.0,25.0,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6.0,7.8,10.4,4.3,2.0,0.3,2.5,51.1,54.0,18.0,7.9
15-16,DeMar DeRozan,TOR,26.0,78.0,0.6794871794871795,53.0,25.0,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,36.6,3.0,0.0,2.2
15-16,Paul George,IND,26.0,81.0,0.5432098765432098,44.0,37.0,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,41.0,15.0,0.0,2.2
15-16,Isaiah Thomas,BOS,27.0,82.0,0.5853658536585366,48.0,34.0,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3.0,6.2,2.7,1.1,0.1,2.0,36.1,7.0,0.0,3.6
