DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
11-12,Kevin Durant,OKC,23.0,66.0,0.7121212121212122,47.0,19.0,38.6,28.0,9.7,19.7,49.6,2.0,5.2,38.7,6.5,7.6,86.0,0.6,7.4,8.0,3.5,3.8,1.3,1.2,2.0,46.6,18.0,0.0,5.6
11-12,Kobe Bryant,LAL,33.0,58.0,0.6206896551724138,36.0,22.0,38.5,27.9,9.9,23.0,43.0,1.5,4.9,30.3,6.6,7.8,84.5,1.1,4.3,5.4,4.6,3.5,1.2,0.3,1.8,42.1,3.0,0.0,2.4
11-12,LeBron James,MIA,27.0,62.0,0.7258064516129032,45.0,17.0,37.5,27.1,10.0,18.9,53.1,0.9,2.4,36.2,6.2,8.1,77.1,1.5,6.4,7.9,6.2,3.4,1.9,0.8,1.5,50.6,23.0,0.0,7.6
11-12,Kevin Love,MIN,23.0,55.0,0.43636363636363634,24.0,31.0,39.0,26.0,8.6,19.3,44.8,1.9,5.1,37.2,6.9,8.4,82.4,4.1,9.2,13.3,2.0,2.3,0.9,0.5,2.8,46.8,48.0,0.0,0.5
11-12,Russell Westbrook,OKC,23.0,66.0,0.7121212121212122,47.0,19.0,35.3,23.6,8.8,19.2,45.7,0.9,3.0,31.6,5.2,6.3,82.3,1.5,3.1,4.6,5.5,3.6,1.7,0.3,2.2,39.7,7.0,0.0,5.6
11-12,Carmelo Anthony,NYK,28.0,55.0,0.5272727272727272,29.0,26.0,34.1,22.6,8.0,18.6,43.0,1.2,3.7,33.5,5.4,6.7,80.4,1.6,4.7,6.3,3.6,2.6,1.1,0.4,2.8,37.7,8.0,1.0,2.0
11-12,Dwyane Wade,MIA,30.0,49.0,0.6530612244897959,32.0,17.0,33.2,22.1,8.5,17.1,49.7,0.3,1.1,26.8,4.8,6.1,79.1,1.5,3.3,4.8,4.6,2.6,1.7,1.3,2.2,41.0,4.0,0.0,7.0
11-12,Derrick Rose,CHI,23.0,39.0,0.8205128205128205,32.0,7.0,35.2,21.8,7.7,17.8,43.5,1.4,4.4,31.2,5.0,6.1,81.2,0.7,2.7,3.4,7.9,3.1,0.9,0.7,1.3,39.5,9.0,0.0,7.4
11-12,LaMarcus Aldridge,POR,26.0,55.0,0.4727272727272727,26.0,29.0,36.3,21.7,8.8,17.1,51.2,0.0,0.2,18.2,4.1,5.0,81.4,2.7,5.3,8.0,2.4,2.0,0.9,0.8,2.8,38.2,13.0,0.0,2.7
11-12,Dirk Nowitzki,DAL,34.0,62.0,0.532258064516129,33.0,29.0,33.5,21.6,7.6,16.7,45.7,1.3,3.4,36.8,5.1,5.7,89.6,0.7,6.0,6.7,2.2,1.9,0.7,0.5,2.1,34.6,11.0,0.0,4.2
11-12,Deron Williams,NJN,28.0,55.0,0.38181818181818183,21.0,34.0,36.3,21.0,7.1,17.5,40.7,2.1,6.2,33.6,4.7,5.5,84.3,0.4,2.9,3.3,8.7,4.0,1.2,0.4,2.2,38.9,22.0,0.0,-3.3
11-12,Blake Griffin,LAC,23.0,66.0,0.6060606060606061,40.0,26.0,36.2,20.7,8.5,15.5,54.9,0.0,0.2,12.5,3.7,7.1,52.1,3.3,7.6,10.9,3.2,2.3,0.8,0.7,3.3,40.9,41.0,0.0,5.1
11-12,Dwight Howard,ORL,26.0,54.0,0.6111111111111112,33.0,21.0,38.3,20.6,7.7,13.4,57.3,0.0,0.1,0.0,5.2,10.6,49.1,3.7,10.8,14.5,1.9,3.2,1.5,2.1,2.9,48.6,43.0,0.0,3.3
11-12,Eric Gordon,NOH,23.0,9.0,0.6666666666666666,6.0,3.0,34.5,20.6,7.0,15.6,45.0,1.1,4.4,25.0,5.4,7.2,75.4,0.2,2.6,2.8,3.4,2.7,1.4,0.4,2.2,32.1,0.0,0.0,3.8
11-12,Monta Ellis,MIL,26.0,58.0,0.5,29.0,29.0,36.6,20.4,7.8,17.9,43.3,1.1,3.5,30.8,3.8,4.7,79.6,0.3,3.1,3.4,6.0,3.1,1.5,0.3,2.3,35.7,5.0,0.0,-0.5
11-12,David Lee,GSW,29.0,57.0,0.38596491228070173,22.0,35.0,37.2,20.1,8.1,16.2,50.3,0.0,0.1,0.0,3.8,4.9,78.2,3.0,6.6,9.6,2.8,2.6,0.9,0.4,3.1,37.2,27.0,1.0,-2.5
11-12,Chris Paul,LAC,27.0,60.0,0.6166666666666667,37.0,23.0,36.3,19.8,7.1,14.8,47.8,1.3,3.6,37.1,4.3,5.0,86.1,0.7,2.9,3.6,9.1,2.1,2.5,0.1,2.3,43.4,23.0,0.0,5.5
11-12,Andrea Bargnani,TOR,26.0,31.0,0.41935483870967744,13.0,18.0,33.3,19.5,6.7,15.6,43.2,1.1,3.7,29.6,4.9,5.6,87.3,0.8,4.8,5.5,2.0,2.2,0.6,0.5,1.7,30.0,2.0,0.0,-1.4
11-12,Paul Pierce,BOS,34.0,61.0,0.6229508196721312,38.0,23.0,34.0,19.4,6.5,14.6,44.3,1.6,4.5,36.6,4.8,5.6,85.2,0.6,4.6,5.2,4.5,2.8,1.1,0.4,2.4,34.2,6.0,0.0,3.1
11-12,Brook Lopez,NJN,24.0,5.0,0.4,2.0,3.0,27.2,19.2,7.6,15.4,49.4,0.0,0.0,0.0,4.0,6.4,62.5,1.6,2.0,3.6,1.2,1.2,0.2,0.8,1.6,27.1,0.0,0.0,-5.4
11-12,Al Jefferson,UTA,27.0,61.0,0.5245901639344263,32.0,29.0,34.0,19.2,8.5,17.2,49.2,0.0,0.1,25.0,2.2,2.9,77.4,2.2,7.4,9.6,2.2,1.0,0.8,1.7,2.5,40.2,31.0,0.0,2.6
11-12,Brandon Jennings,MIL,22.0,66.0,0.4696969696969697,31.0,35.0,35.3,19.1,7.1,17.0,41.8,2.0,5.9,33.2,2.9,3.6,80.8,0.7,2.7,3.4,5.5,2.2,1.6,0.3,1.7,35.0,6.0,0.0,-1.6
11-12,Rudy Gay,MEM,25.0,65.0,0.6307692307692307,41.0,24.0,37.3,19.0,7.5,16.4,45.5,0.8,2.7,31.2,3.2,4.0,79.1,2.0,4.4,6.4,2.3,2.5,1.5,0.8,2.1,34.5,8.0,0.0,1.5
11-12,Joe Johnson,ATL,31.0,60.0,0.6,36.0,24.0,35.4,18.8,7.1,15.5,45.4,2.1,5.4,38.8,2.6,3.1,84.9,0.9,2.8,3.7,3.9,1.9,0.8,0.2,1.3,30.2,0.0,0.0,4.0
11-12,Josh Smith,ATL,26.0,66.0,0.6060606060606061,40.0,26.0,35.3,18.8,7.6,16.7,45.8,0.4,1.7,25.7,3.1,4.9,63.0,2.1,7.5,9.6,3.9,2.5,1.4,1.7,2.6,43.1,28.0,0.0,4.1
11-12,Andrew Bynum,LAL,24.0,60.0,0.6333333333333333,38.0,22.0,35.2,18.7,7.4,13.3,55.8,0.0,0.1,20.0,3.9,5.6,69.2,3.2,8.6,11.8,1.4,2.5,0.5,1.9,1.7,39.6,37.0,0.0,1.9
11-12,Danny Granger,IND,29.0,62.0,0.6612903225806451,41.0,21.0,33.3,18.7,6.3,15.2,41.6,2.0,5.2,38.1,4.1,4.7,87.3,1.3,3.7,5.0,1.8,1.8,1.0,0.6,2.3,30.4,0.0,0.0,4.8
11-12,Marcus Thornton,SAC,25.0,51.0,0.37254901960784315,19.0,32.0,34.9,18.7,6.9,15.7,43.8,2.1,6.1,34.5,2.8,3.2,86.5,1.6,2.0,3.7,1.9,1.6,1.4,0.2,2.2,29.2,1.0,0.0,-3.4
11-12,Kyrie Irving,CLE,20.0,51.0,0.3333333333333333,17.0,34.0,30.5,18.5,6.9,14.6,46.9,1.4,3.6,39.9,3.4,3.8,87.2,0.9,2.9,3.7,5.4,3.1,1.1,0.4,2.2,32.3,1.0,0.0,-3.2
11-12,Tony Parker,SAS,30.0,60.0,0.7833333333333333,47.0,13.0,32.1,18.3,7.1,14.8,48.0,0.2,1.0,23.0,3.8,4.7,79.9,0.4,2.5,2.9,7.7,2.6,1.0,0.1,1.3,33.8,12.0,0.0,7.0
11-12,DeMarcus Cousins,SAC,21.0,64.0,0.3125,20.0,44.0,30.5,18.1,7.0,15.6,44.8,0.0,0.2,14.3,4.1,5.8,70.2,4.1,6.8,11.0,1.6,2.7,1.5,1.2,4.0,38.9,36.0,0.0,-2.8
11-12,Chris Bosh,MIA,28.0,57.0,0.7368421052631579,42.0,15.0,35.2,18.0,6.9,14.2,48.7,0.2,0.6,28.6,4.0,4.9,82.1,1.6,6.3,7.9,1.8,2.1,0.9,0.8,2.2,33.2,11.0,0.0,6.8
11-12,Amar'e Stoudemire,NYK,29.0,47.0,0.46808510638297873,22.0,25.0,32.8,17.5,6.7,13.9,48.3,0.1,0.4,23.8,4.0,5.2,76.5,2.3,5.6,7.8,1.1,2.4,0.8,1.0,2.9,31.5,16.0,0.0,-0.9
11-12,Pau Gasol,LAL,31.0,65.0,0.6307692307692307,41.0,24.0,37.4,17.4,7.1,14.1,50.1,0.1,0.4,25.9,3.1,4.0,78.2,2.8,7.6,10.4,3.6,2.2,0.6,1.4,2.0,38.9,42.0,1.0,2.4
11-12,Antawn Jamison,CLE,36.0,65.0,0.3076923076923077,20.0,45.0,33.1,17.2,6.5,16.1,40.3,1.4,4.1,34.1,2.8,4.2,68.3,1.9,4.4,6.3,2.0,1.4,0.8,0.7,2.5,30.7,7.0,0.0,-4.6
11-12,Kevin Martin,HOU,29.0,40.0,0.5,20.0,20.0,31.6,17.1,5.6,13.4,41.3,2.0,5.6,34.7,4.0,4.5,89.4,0.3,2.3,2.7,2.8,1.8,0.7,0.1,1.8,24.9,0.0,0.0,-0.4
11-12,James Harden,OKC,22.0,62.0,0.7096774193548387,44.0,18.0,31.4,16.8,5.0,10.1,49.1,1.8,4.7,39.0,5.0,6.0,84.6,0.5,3.6,4.1,3.7,2.2,1.0,0.2,2.4,28.8,0.0,0.0,5.9
11-12,DeMar DeRozan,TOR,22.0,63.0,0.3492063492063492,22.0,41.0,35.0,16.7,6.0,14.3,42.2,0.4,1.5,26.1,4.3,5.3,81.0,0.6,2.7,3.3,2.0,2.0,0.8,0.3,2.6,24.9,0.0,0.0,-1.5
11-12,Paul Millsap,UTA,27.0,64.0,0.53125,34.0,30.0,32.8,16.6,6.7,13.5,49.5,0.1,0.5,22.6,3.2,4.0,79.2,2.8,6.0,8.8,2.3,1.8,1.8,0.8,3.5,36.9,21.0,0.0,3.0
11-12,Tyreke Evans,SAC,22.0,63.0,0.30158730158730157,19.0,44.0,34.3,16.5,6.5,14.3,45.3,0.3,1.6,20.2,3.2,4.1,77.9,1.0,3.6,4.6,4.5,2.7,1.3,0.5,2.2,31.4,5.0,0.0,-4.6
11-12,Ty Lawson,DEN,24.0,61.0,0.5901639344262295,36.0,25.0,34.8,16.4,6.1,12.6,48.8,1.2,3.3,36.5,2.9,3.5,82.4,0.9,2.8,3.7,6.6,2.4,1.3,0.1,1.5,32.6,11.0,0.0,2.3
11-12,John Wall,WAS,21.0,66.0,0.30303030303030304,20.0,46.0,36.2,16.3,5.7,13.5,42.3,0.0,0.6,7.1,4.8,6.1,78.9,0.7,3.8,4.5,8.0,3.9,1.4,0.9,2.1,36.8,16.0,0.0,-3.9
11-12,Ryan Anderson,ORL,24.0,61.0,0.5901639344262295,36.0,25.0,32.2,16.1,5.4,12.4,43.9,2.7,6.9,39.3,2.5,2.8,87.7,3.7,4.0,7.7,0.9,0.9,0.8,0.4,2.4,29.5,14.0,0.0,4.5
11-12,Kevin Garnett,BOS,36.0,60.0,0.6166666666666667,37.0,23.0,31.1,15.8,6.5,13.0,50.3,0.1,0.2,33.3,2.7,3.2,85.7,1.1,7.1,8.2,2.9,1.8,0.9,1.0,2.4,34.1,21.0,0.0,4.5
11-12,Jarrett Jack,NOH,28.0,45.0,0.2222222222222222,10.0,35.0,34.0,15.6,5.9,13.0,45.6,0.9,2.5,34.8,2.9,3.3,87.2,0.5,3.4,3.9,6.3,2.4,0.7,0.2,2.1,30.1,5.0,1.0,-5.8
11-12,Luis Scola,HOU,32.0,66.0,0.5151515151515151,34.0,32.0,31.3,15.5,6.6,13.5,49.1,0.0,0.0,0.0,2.3,3.0,77.3,1.8,4.6,6.5,2.1,2.3,0.5,0.4,3.2,26.9,11.0,0.0,1.0
11-12,Tim Duncan,SAS,36.0,58.0,0.7758620689655172,45.0,13.0,28.2,15.4,6.2,12.6,49.2,0.0,0.1,0.0,3.0,4.3,69.5,1.9,7.1,9.0,2.3,1.7,0.7,1.5,1.7,34.4,22.0,0.0,5.3
11-12,Marcin Gortat,PHX,28.0,66.0,0.5,33.0,33.0,32.0,15.4,6.5,11.7,55.5,0.0,0.0,0.0,2.5,3.8,64.9,2.8,7.2,10.0,0.9,1.4,0.7,1.5,2.2,34.1,31.0,0.0,1.4
11-12,Greg Monroe,DET,22.0,66.0,0.3787878787878788,25.0,41.0,31.5,15.4,6.2,11.8,52.1,0.0,0.0,0.0,3.0,4.1,73.9,3.6,6.0,9.7,2.3,2.4,1.3,0.7,2.7,33.8,30.0,0.0,-3.1
11-12,Luol Deng,CHI,27.0,54.0,0.7777777777777778,42.0,12.0,39.4,15.3,5.8,14.0,41.2,1.5,4.0,36.7,2.4,3.1,77.0,1.4,5.1,6.5,2.9,1.8,1.0,0.7,1.5,30.8,10.0,0.0,7.0
11-12,Arron Afflalo,DEN,26.0,62.0,0.5806451612903226,36.0,26.0,33.7,15.2,5.3,11.3,47.1,1.4,3.6,39.8,3.2,4.0,79.8,0.6,2.5,3.2,2.4,1.4,0.6,0.2,2.2,23.6,1.0,0.0,0.5
11-12,Gerald Henderson,CHA,24.0,55.0,0.10909090909090909,6.0,49.0,33.3,15.1,6.0,13.1,45.9,0.2,0.9,23.4,2.8,3.7,76.0,1.2,2.9,4.1,2.3,1.8,0.9,0.4,2.3,25.4,1.0,0.0,-8.9
11-12,Jason Terry,DAL,34.0,63.0,0.5396825396825397,34.0,29.0,31.7,15.1,5.7,13.2,43.0,2.2,5.8,37.8,1.6,1.8,88.3,0.3,2.1,2.4,3.6,2.0,1.2,0.2,1.1,25.3,0.0,0.0,0.2
11-12,Carlos Boozer,CHI,30.0,66.0,0.7575757575757576,50.0,16.0,29.5,15.0,6.8,12.8,53.2,0.0,0.0,0.0,1.4,2.1,69.3,1.7,6.8,8.5,1.9,1.7,1.0,0.4,2.5,30.3,18.0,0.0,4.1
11-12,Corey Maggette,CHA,32.0,32.0,0.1875,6.0,26.0,27.5,15.0,4.3,11.7,37.3,0.8,2.1,36.4,5.6,6.5,85.6,0.7,3.3,3.9,1.2,1.8,0.7,0.0,2.6,21.9,0.0,0.0,-8.6
11-12,Chauncey Billups,LAC,35.0,20.0,0.7,14.0,6.0,30.3,15.0,4.2,11.4,36.4,2.4,6.3,38.4,4.3,4.8,89.5,0.2,2.3,2.5,4.0,1.9,0.5,0.2,2.0,23.9,0.0,0.0,4.1
11-12,Lou Williams,PHI,25.0,64.0,0.53125,34.0,30.0,26.3,14.9,5.0,12.2,40.7,1.3,3.6,36.2,3.7,4.6,81.2,0.5,2.0,2.4,3.5,1.1,0.8,0.3,1.4,25.2,0.0,0.0,3.6
11-12,Rodney Stuckey,DET,26.0,55.0,0.41818181818181815,23.0,32.0,29.9,14.8,4.7,10.9,42.9,0.6,1.9,31.7,4.9,5.8,83.4,0.7,1.9,2.6,3.8,1.9,0.8,0.2,2.3,24.6,0.0,0.0,-0.6
