DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
14-15,Russell Westbrook,OKC,26.0,67.0,0.5970149253731343,40.0,27.0,34.4,28.1,9.4,22.0,42.6,1.3,4.3,29.9,8.1,9.8,83.5,1.9,5.4,7.3,8.6,4.4,2.1,0.2,2.7,52.3,31.0,11.0,3.7
14-15,James Harden,HOU,25.0,81.0,0.691358024691358,56.0,25.0,36.8,27.4,8.0,18.1,44.0,2.6,6.9,37.5,8.8,10.2,86.8,0.9,4.7,5.7,7.0,4.0,1.9,0.7,2.6,48.6,21.0,4.0,4.1
14-15,Kevin Durant,OKC,26.0,27.0,0.6666666666666666,18.0,9.0,33.8,25.4,8.8,17.3,51.0,2.4,5.9,40.3,5.4,6.3,85.4,0.6,6.0,6.6,4.1,2.7,0.9,0.9,1.5,42.1,5.0,0.0,6.2
14-15,LeBron James,CLE,30.0,69.0,0.7246376811594203,50.0,19.0,36.1,25.3,9.0,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71.0,0.7,5.3,6.0,7.4,3.9,1.6,0.7,2.0,46.5,22.0,2.0,7.8
14-15,Anthony Davis,NOP,22.0,68.0,0.5735294117647058,39.0,29.0,36.1,24.4,9.4,17.6,53.5,0.0,0.2,8.3,5.5,6.8,80.5,2.5,7.7,10.2,2.2,1.4,1.5,2.9,2.1,51.8,42.0,0.0,3.9
14-15,Carmelo Anthony,NYK,31.0,40.0,0.25,10.0,30.0,35.7,24.2,9.0,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,1.8,4.8,6.6,3.1,2.2,1.0,0.4,2.2,38.7,5.0,0.0,-2.7
14-15,DeMarcus Cousins,SAC,24.0,59.0,0.3898305084745763,23.0,36.0,34.1,24.1,8.4,18.1,46.7,0.0,0.1,25.0,7.2,9.2,78.2,3.1,9.5,12.7,3.6,4.3,1.5,1.7,4.1,50.1,47.0,2.0,1.0
14-15,Stephen Curry,GSW,27.0,80.0,0.8375,67.0,13.0,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,0.7,3.6,4.3,7.7,3.1,2.0,0.2,2.0,44.1,23.0,0.0,11.5
14-15,LaMarcus Aldridge,POR,29.0,71.0,0.676056338028169,48.0,23.0,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,2.5,7.7,10.2,1.7,1.7,0.7,1.0,1.8,41.5,39.0,0.0,4.8
14-15,Kobe Bryant,LAL,36.0,35.0,0.2857142857142857,10.0,25.0,34.5,22.3,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,1.9,38.6,4.0,2.0,-8.4
