DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
17-18,James Harden,HOU,28.0,72.0,0.8194444444444444,59.0,13.0,35.4,30.4,9.0,20.1,44.9,3.7,10.0,36.7,8.7,10.1,85.8,0.6,4.8,5.4,8.8,4.4,1.8,0.7,2.3,53.0,31.0,4.0,7.3
17-18,Anthony Davis,NOP,25.0,75.0,0.6,45.0,30.0,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34.0,6.6,8.0,82.8,2.5,8.6,11.1,2.3,2.2,1.5,2.6,2.1,55.1,50.0,1.0,3.9
17-18,LeBron James,CLE,33.0,82.0,0.6097560975609756,50.0,32.0,36.9,27.5,10.5,19.3,54.2,1.8,5.0,36.7,4.7,6.5,73.1,1.2,7.5,8.6,9.1,4.2,1.4,0.9,1.7,54.1,52.0,18.0,1.3
17-18,Damian Lillard,POR,27.0,73.0,0.6027397260273972,44.0,29.0,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,0.8,3.6,4.5,6.6,2.8,1.1,0.4,1.6,43.6,11.0,0.0,4.7
17-18,Giannis Antetokounmpo,MIL,23.0,75.0,0.52,39.0,36.0,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76.0,2.1,8.0,10.0,4.8,3.0,1.5,1.4,3.1,51.7,42.0,1.0,2.0
17-18,Stephen Curry,GSW,30.0,51.0,0.803921568627451,41.0,10.0,32.0,26.4,8.4,16.9,49.5,4.2,9.8,42.3,5.5,5.9,92.1,0.7,4.4,5.1,6.1,3.0,1.6,0.2,2.2,43.8,5.0,0.0,9.5
17-18,Kevin Durant,GSW,29.0,68.0,0.7205882352941176,49.0,19.0,34.2,26.4,9.3,18.0,51.6,2.5,6.1,41.9,5.3,5.9,88.9,0.5,6.4,6.8,5.4,3.0,0.7,1.8,2.0,47.0,15.0,2.0,5.2
17-18,Russell Westbrook,OKC,29.0,80.0,0.5875,47.0,33.0,36.4,25.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,1.9,8.2,10.1,10.3,4.8,1.8,0.3,2.5,54.3,59.0,25.0,4.8
17-18,DeMarcus Cousins,NOP,27.0,48.0,0.5625,27.0,21.0,36.2,25.2,8.5,18.0,47.0,2.2,6.1,35.4,6.1,8.2,74.6,2.2,10.7,12.9,5.4,5.0,1.6,1.6,3.8,53.3,38.0,3.0,1.6
17-18,Devin Booker,PHX,21.0,54.0,0.2962962962962963,16.0,38.0,34.5,24.9,8.4,19.5,43.2,2.7,7.1,38.3,5.4,6.1,87.8,0.5,4.0,4.5,4.7,3.6,0.9,0.3,3.1,37.2,4.0,0.0,-6.6
17-18,Kyrie Irving,BOS,26.0,60.0,0.6833333333333333,41.0,19.0,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,0.6,3.2,3.8,5.1,2.3,1.1,0.3,2.0,38.4,1.0,0.0,4.3
17-18,LaMarcus Aldridge,SAS,32.0,75.0,0.6,45.0,30.0,33.4,23.1,9.2,18.0,51.0,0.4,1.2,29.3,4.5,5.3,83.7,3.3,5.2,8.5,2.0,1.5,0.6,1.2,2.1,40.2,27.0,0.0,3.7
17-18,Victor Oladipo,IND,26.0,75.0,0.64,48.0,27.0,34.0,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,0.6,4.6,5.2,4.3,2.9,2.4,0.8,2.3,42.3,3.0,0.0,4.5
17-18,DeMar DeRozan,TOR,28.0,80.0,0.7125,57.0,23.0,33.9,23.0,8.1,17.7,45.6,1.1,3.6,31.0,5.8,7.0,82.5,0.7,3.2,3.9,5.2,2.2,1.1,0.3,1.9,37.4,0.0,0.0,5.5
17-18,Joel Embiid,PHI,24.0,63.0,0.6507936507936508,41.0,22.0,30.4,22.9,8.1,16.8,48.3,1.0,3.4,30.8,5.7,7.4,76.9,2.3,8.7,11.0,3.2,3.7,0.6,1.8,3.3,44.3,38.0,0.0,7.7
17-18,Kristaps Porzingis,NYK,22.0,48.0,0.4583333333333333,22.0,26.0,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,1.3,5.3,6.6,1.2,1.9,0.8,2.4,2.9,39.8,5.0,0.0,0.3
