DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
00-01,Allen Iverson,PHI,26.0,71.0,0.704225352112676,50.0,21.0,41.9,31.1,10.7,25.5,42.0,1.4,4.3,32.0,8.2,10.1,81.4,0.7,3.1,3.8,4.6,3.3,2.5,0.3,2.1,47.6,4.0,0.0,5.2
00-01,Jerry Stackhouse,DET,26.0,80.0,0.3875,31.0,49.0,40.1,29.8,9.7,24.1,40.2,2.1,5.9,35.1,8.3,10.1,82.2,1.2,2.7,3.9,5.1,4.1,1.2,0.7,2.0,43.8,5.0,1.0,-0.8
00-01,Shaquille O'Neal,LAL,29.0,74.0,0.6891891891891891,51.0,23.0,39.5,28.7,11.0,19.2,57.2,0.0,0.0,0.0,6.7,13.1,51.3,3.9,8.8,12.7,3.7,2.9,0.6,2.8,3.5,56.8,60.0,0.0,6.3
00-01,Kobe Bryant,LAL,22.0,68.0,0.6617647058823529,45.0,23.0,41.0,28.5,10.3,22.2,46.4,0.9,2.9,30.5,7.0,8.2,85.3,1.5,4.3,5.9,5.0,3.2,1.7,0.6,3.3,46.7,10.0,2.0,5.4
00-01,Vince Carter,TOR,24.0,75.0,0.6,45.0,30.0,39.7,27.6,10.2,22.1,46.0,2.2,5.3,40.8,5.1,6.7,76.5,2.3,3.2,5.5,3.9,2.2,1.5,1.1,2.7,45.7,10.0,0.0,4.3
00-01,Chris Webber,SAC,28.0,70.0,0.6857142857142857,48.0,22.0,40.5,27.1,11.2,23.4,48.1,0.0,0.4,7.1,4.6,6.6,70.3,2.6,8.5,11.1,4.2,2.8,1.3,1.7,3.2,53.0,50.0,1.0,5.3
00-01,Tracy McGrady,ORL,22.0,77.0,0.5064935064935064,39.0,38.0,40.2,26.8,10.2,22.4,45.7,0.8,2.2,35.5,5.6,7.6,73.3,2.5,5.0,7.5,4.6,2.6,1.5,1.5,2.1,49.3,18.0,0.0,3.3
00-01,Paul Pierce,BOS,23.0,82.0,0.43902439024390244,36.0,46.0,38.1,25.3,8.4,18.5,45.4,1.8,4.7,38.3,6.7,9.0,74.5,1.1,5.2,6.4,3.1,3.2,1.7,0.8,3.1,41.9,12.0,0.0,-0.9
00-01,Antawn Jamison,GSW,25.0,82.0,0.2073170731707317,17.0,65.0,41.4,24.9,9.8,22.1,44.2,0.8,2.5,30.2,4.7,6.5,71.5,3.4,5.3,8.7,2.0,2.4,1.4,0.3,2.7,41.2,33.0,0.0,-6.8
00-01,Stephon Marbury,NJN,24.0,67.0,0.3283582089552239,22.0,45.0,38.2,23.9,8.4,19.1,44.1,1.6,5.0,32.8,5.4,6.8,79.0,0.8,2.3,3.1,7.6,2.9,1.2,0.1,2.2,39.7,12.0,1.0,-3.9
00-01,Antoine Walker,BOS,24.0,81.0,0.43209876543209874,35.0,46.0,41.9,23.4,8.8,21.2,41.3,2.7,7.4,36.7,3.1,4.3,71.6,1.9,7.0,8.9,5.5,3.7,1.7,0.6,3.1,45.5,38.0,5.0,-1.5
00-01,Karl Malone,UTA,37.0,81.0,0.6419753086419753,52.0,29.0,35.7,23.2,8.3,16.6,49.8,0.0,0.1,40.0,6.6,8.3,79.3,1.4,6.9,8.3,4.5,3.0,1.1,0.8,2.7,42.5,27.0,0.0,4.7
00-01,Gary Payton,SEA,32.0,79.0,0.5443037974683544,43.0,36.0,41.1,23.1,9.2,20.1,45.6,1.3,3.4,37.5,3.4,4.5,76.6,0.9,3.6,4.6,8.1,2.6,1.6,0.3,2.3,43.9,27.0,2.0,-0.2
00-01,Tim Duncan,SAS,25.0,82.0,0.7073170731707317,58.0,24.0,38.7,22.2,8.6,17.1,49.9,0.1,0.3,25.9,5.0,8.1,61.8,3.2,9.0,12.2,3.0,3.0,0.9,2.3,3.0,47.9,66.0,0.0,8.4
00-01,Glenn Robinson,MIL,28.0,76.0,0.6578947368421053,50.0,26.0,37.0,22.0,9.0,19.2,46.8,0.7,2.4,29.9,3.3,4.0,82.0,1.6,5.3,6.9,3.3,2.9,1.1,0.8,2.5,38.3,15.0,0.0,2.8
00-01,Kevin Garnett,MIN,25.0,81.0,0.5802469135802469,47.0,34.0,39.5,22.0,8.7,18.2,47.7,0.2,0.8,28.8,4.4,5.8,76.4,2.7,8.7,11.4,5.0,2.8,1.4,1.8,2.5,49.7,54.0,2.0,2.5
00-01,Ray Allen,MIL,25.0,82.0,0.6341463414634146,52.0,30.0,38.2,22.0,7.7,16.0,48.0,2.5,5.7,43.3,4.2,4.8,88.8,1.2,4.0,5.2,4.6,2.5,1.5,0.2,2.3,37.9,8.0,1.0,4.2
