DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
05-06,Kobe Bryant,LAL,27.0,80.0,56.25,45.0,35.0,41.0,35.4,12.2,27.2,45.0,2.3,6.5,34.7,8.7,10.2,85.0,0.9,4.4,5.3,4.5,3.1,1.8,0.4,2.9,52.0,4.0,0.0,4.0
05-06,Allen Iverson,PHI,31.0,72.0,48.61111111111111,35.0,37.0,43.1,33.0,11.3,25.3,44.7,1.0,3.1,32.3,9.4,11.5,81.4,0.6,2.6,3.2,7.4,3.4,1.9,0.1,1.7,50.8,18.0,0.0,-0.1
05-06,LeBron James,CLE,21.0,79.0,59.49367088607595,47.0,32.0,42.5,31.4,11.1,23.1,48.0,1.6,4.8,33.5,7.6,10.3,73.8,0.9,6.1,7.0,6.6,3.3,1.6,0.8,2.3,53.6,21.0,5.0,3.5
05-06,Gilbert Arenas,WAS,24.0,80.0,50.0,40.0,40.0,42.3,29.3,9.3,20.9,44.7,2.5,6.8,36.9,8.2,10.0,82.0,0.7,2.8,3.5,6.1,3.7,2.0,0.3,3.6,45.9,9.0,0.0,2.6
05-06,Dwyane Wade,MIA,24.0,75.0,64.0,48.0,27.0,38.6,27.2,9.3,18.8,49.5,0.2,1.0,17.1,8.4,10.7,78.3,1.4,4.3,5.7,6.7,3.6,1.9,0.8,2.9,48.7,16.0,2.0,6.5
05-06,Paul Pierce,BOS,28.0,79.0,40.50632911392405,32.0,47.0,39.0,26.8,8.7,18.5,47.1,1.4,4.0,35.4,7.9,10.3,77.2,1.0,5.7,6.7,4.7,3.5,1.4,0.4,2.8,43.9,17.0,1.0,-0.7
05-06,Dirk Nowitzki,DAL,28.0,81.0,74.07407407407408,60.0,21.0,38.1,26.6,9.3,19.3,48.0,1.4,3.3,40.6,6.7,7.4,90.1,1.4,7.6,9.0,2.8,1.9,0.7,1.0,2.0,44.8,35.0,0.0,6.3
05-06,Carmelo Anthony,DEN,22.0,80.0,55.00000000000001,44.0,36.0,36.8,26.5,9.5,19.7,48.1,0.5,1.9,24.3,7.2,8.9,80.8,1.5,3.4,4.9,2.7,2.7,1.1,0.5,2.9,38.6,6.0,0.0,0.1
05-06,Michael Redd,MIL,26.0,80.0,48.75,39.0,41.0,39.1,25.4,8.5,19.0,45.0,2.0,5.2,39.5,6.3,7.1,87.7,1.0,3.3,4.3,2.9,2.1,1.2,0.1,2.0,36.4,0.0,0.0,1.0
05-06,Ray Allen,SEA,30.0,78.0,44.871794871794876,35.0,43.0,38.7,25.1,8.7,19.2,45.4,3.4,8.4,41.2,4.2,4.6,90.3,0.9,3.3,4.3,3.7,2.4,1.3,0.2,1.9,37.9,1.0,0.0,-0.7
05-06,Elton Brand,LAC,27.0,79.0,55.69620253164557,44.0,35.0,39.2,24.7,9.6,18.2,52.7,0.0,0.0,33.3,5.6,7.2,77.5,3.0,7.0,10.0,2.6,2.2,1.0,2.5,2.9,49.2,45.0,0.0,2.3
05-06,Tracy McGrady,HOU,27.0,47.0,57.446808510638306,27.0,20.0,37.1,24.4,8.7,21.5,40.6,1.6,5.0,31.2,5.4,7.2,74.7,1.0,5.6,6.5,4.8,2.6,1.3,0.9,1.9,43.3,6.0,0.0,1.3
05-06,Vince Carter,NJN,29.0,79.0,62.0253164556962,49.0,30.0,36.8,24.2,8.3,19.2,43.0,1.6,4.6,34.1,6.1,7.6,79.9,1.7,4.1,5.8,4.3,2.7,1.2,0.7,3.0,40.5,8.0,1.0,4.2
05-06,Jason Richardson,GSW,25.0,75.0,42.66666666666667,32.0,43.0,38.4,23.2,8.5,19.2,44.6,2.4,6.4,38.4,3.7,5.5,67.3,1.4,4.4,5.8,3.1,2.2,1.3,0.5,2.7,38.0,5.0,0.0,0.5
05-06,Chris Bosh,TOR,22.0,70.0,37.142857142857146,26.0,44.0,39.3,22.5,7.8,15.5,50.5,0.0,0.2,0.0,6.8,8.3,81.6,2.9,6.3,9.2,2.6,2.2,0.7,1.1,3.0,40.7,32.0,0.0,-0.8
05-06,Yao Ming,HOU,25.0,57.0,47.368421052631575,27.0,30.0,34.2,22.3,8.2,15.8,51.9,0.0,0.0,0.0,5.9,6.9,85.3,2.6,7.6,10.2,1.5,2.6,0.5,1.6,3.4,40.7,34.0,0.0,1.6
05-06,Shawn Marion,PHX,28.0,81.0,65.4320987654321,53.0,28.0,40.3,21.8,8.8,16.9,52.5,1.2,3.6,33.1,3.0,3.7,80.9,3.1,8.8,11.8,1.8,1.5,2.0,1.7,2.8,48.2,60.0,0.0,5.1
05-06,Kevin Garnett,MIN,30.0,76.0,40.78947368421053,31.0,45.0,38.9,21.8,8.2,15.7,52.6,0.1,0.4,26.7,5.2,6.4,81.0,2.8,9.9,12.7,4.1,2.4,1.4,1.4,2.7,49.1,62.0,0.0,0.5
05-06,Mike Bibby,SAC,28.0,82.0,53.65853658536586,44.0,38.0,38.6,21.1,7.3,16.9,43.2,2.3,6.1,38.6,4.2,4.9,84.9,0.4,2.6,2.9,5.4,2.4,1.0,0.1,2.1,33.6,8.0,0.0,1.7
05-06,Antawn Jamison,WAS,30.0,82.0,51.21951219512195,42.0,40.0,40.1,20.5,8.0,18.2,44.2,1.8,4.5,39.4,2.6,3.6,73.1,2.0,7.3,9.3,1.9,1.7,1.1,0.1,2.3,36.7,35.0,0.0,3.0
05-06,Pau Gasol,MEM,25.0,80.0,58.75,47.0,33.0,39.2,20.4,7.5,14.9,50.3,0.0,0.2,25.0,5.3,7.7,68.9,2.4,6.5,8.9,4.6,2.9,0.6,1.9,2.3,42.5,33.0,1.0,3.8
05-06,Mike James,TOR,31.0,79.0,31.645569620253166,25.0,54.0,37.0,20.3,7.3,15.5,46.9,2.1,4.8,44.2,3.6,4.3,83.7,0.6,2.7,3.3,5.8,2.6,0.9,0.0,2.7,33.3,11.0,0.0,-1.7
05-06,Chris Webber,PHI,33.0,75.0,44.0,33.0,42.0,38.6,20.2,8.2,19.0,43.4,0.3,1.0,27.3,3.5,4.6,75.6,2.5,7.4,9.9,3.4,2.4,1.4,0.8,2.9,41.4,38.0,0.0,-1.7
05-06,Joe Johnson,ATL,25.0,82.0,31.70731707317073,26.0,56.0,40.7,20.2,7.7,17.0,45.3,1.6,4.4,35.6,3.2,4.0,79.1,1.2,2.9,4.1,6.5,3.3,1.3,0.4,2.3,36.5,13.0,1.0,-4.6
05-06,Richard Hamilton,DET,28.0,80.0,80.0,64.0,16.0,35.3,20.1,8.1,16.5,49.1,0.7,1.5,45.8,3.2,3.8,84.5,1.1,2.2,3.2,3.4,2.2,0.7,0.2,2.6,29.5,0.0,0.0,6.5
05-06,Rashard Lewis,SEA,26.0,78.0,42.30769230769231,33.0,45.0,36.9,20.1,6.9,14.8,46.7,1.8,4.7,38.4,4.5,5.5,81.8,1.4,3.6,5.0,2.3,1.8,1.3,0.6,2.4,33.6,5.0,0.0,-2.6
