DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
10-11,Kevin Durant,OKC,22.0,78.0,0.6666666666666666,52.0,26.0,38.9,27.7,9.1,19.7,46.2,1.9,5.3,35.0,7.6,8.7,88.0,0.7,6.1,6.8,2.7,2.8,1.1,1.0,2.0,43.5,14.0,0.0,3.4
10-11,LeBron James,MIA,26.0,79.0,0.7215189873417721,57.0,22.0,38.8,26.7,9.6,18.8,51.0,1.2,3.5,33.0,6.4,8.4,75.9,1.0,6.5,7.5,7.0,3.6,1.6,0.6,2.1,49.2,31.0,4.0,7.8
10-11,Carmelo Anthony,NYK,27.0,77.0,0.5584415584415584,43.0,34.0,35.7,25.6,8.9,19.5,45.5,1.2,3.3,37.8,6.6,7.9,83.7,1.5,5.8,7.3,2.9,2.7,0.9,0.6,2.9,40.4,18.0,0.0,2.4
10-11,Dwyane Wade,MIA,29.0,76.0,0.7105263157894737,54.0,22.0,37.1,25.5,9.1,18.2,50.0,0.8,2.7,30.6,6.5,8.6,75.8,1.6,4.8,6.4,4.6,3.1,1.5,1.1,2.6,44.7,10.0,1.0,7.6
10-11,Kobe Bryant,LAL,32.0,82.0,0.6951219512195121,57.0,25.0,33.9,25.3,9.0,20.0,45.1,1.4,4.3,32.3,5.9,7.1,82.8,1.0,4.1,5.1,4.7,3.0,1.2,0.1,2.1,39.7,9.0,1.0,5.2
10-11,Amar'e Stoudemire,NYK,28.0,78.0,0.5,39.0,39.0,36.8,25.3,9.5,19.0,50.2,0.1,0.3,43.5,6.1,7.7,79.2,2.5,5.6,8.2,2.6,3.2,0.9,1.9,3.5,44.2,26.0,0.0,0.8
10-11,Derrick Rose,CHI,22.0,81.0,0.7654320987654321,62.0,19.0,37.4,25.0,8.8,19.7,44.5,1.6,4.8,33.2,5.9,6.9,85.8,1.0,3.1,4.1,7.7,3.4,1.0,0.6,1.7,43.0,23.0,1.0,6.2
10-11,Monta Ellis,GSW,25.0,80.0,0.4375,35.0,45.0,40.3,24.1,9.1,20.1,45.1,1.7,4.7,36.1,4.3,5.4,78.9,0.6,3.0,3.5,5.6,3.2,2.1,0.3,2.5,40.8,10.0,0.0,-2.9
10-11,Kevin Martin,HOU,28.0,80.0,0.525,42.0,38.0,32.5,23.5,6.9,15.8,43.6,2.2,5.7,38.3,7.4,8.4,88.8,0.4,2.9,3.2,2.5,2.3,1.0,0.2,1.9,32.3,0.0,0.0,2.0
10-11,Dirk Nowitzki,DAL,33.0,73.0,0.7534246575342466,55.0,18.0,34.3,23.0,8.4,16.2,51.7,0.9,2.3,39.3,5.4,6.1,89.2,0.7,6.3,7.0,2.6,1.9,0.5,0.6,2.4,37.0,16.0,0.0,7.3
10-11,Dwight Howard,ORL,25.0,78.0,0.6538461538461539,51.0,27.0,37.6,22.9,7.9,13.4,59.3,0.0,0.1,0.0,7.0,11.7,59.6,4.0,10.1,14.1,1.4,3.6,1.4,2.4,3.3,49.5,66.0,0.0,6.4
10-11,Blake Griffin,LAC,22.0,82.0,0.3902439024390244,32.0,50.0,37.9,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,2.7,0.8,0.5,3.1,43.9,63.0,2.0,-1.8
