DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
06-07,Kobe Bryant,LAL,28.0,77.0,0.5064935064935064,39.0,38.0,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10.0,86.8,1.0,4.7,5.7,5.4,3.3,1.4,0.5,2.7,48.9,10.0,0.0,1.3
06-07,Carmelo Anthony,DEN,23.0,65.0,0.5692307692307692,37.0,28.0,38.2,28.9,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,2.2,3.8,6.0,3.8,3.6,1.2,0.4,3.1,42.9,4.0,1.0,1.4
06-07,Gilbert Arenas,WAS,25.0,74.0,0.527027027027027,39.0,35.0,39.8,28.4,8.7,20.9,41.8,2.8,7.9,35.1,8.2,9.7,84.4,0.8,3.7,4.6,6.0,3.2,1.9,0.2,3.4,45.9,10.0,0.0,2.6
06-07,Dwyane Wade,MIA,25.0,51.0,0.5294117647058824,27.0,24.0,37.9,27.4,9.3,18.9,49.1,0.4,1.5,26.6,8.5,10.5,80.7,1.0,3.7,4.7,7.5,4.2,2.1,1.2,2.3,50.0,15.0,0.0,1.9
06-07,LeBron James,CLE,22.0,78.0,0.6025641025641025,47.0,31.0,40.9,27.3,9.9,20.8,47.6,1.3,4.0,31.9,6.3,9.0,69.8,1.1,5.7,6.7,6.0,3.2,1.6,0.7,2.2,48.2,16.0,1.0,4.8
06-07,Michael Redd,MIL,27.0,53.0,0.41509433962264153,22.0,31.0,38.4,26.7,9.0,19.3,46.5,2.2,5.8,38.2,6.5,7.8,82.9,0.8,2.9,3.7,2.3,2.3,1.2,0.2,1.5,36.4,0.0,0.0,0.0
06-07,Ray Allen,SEA,31.0,55.0,0.4,22.0,33.0,40.3,26.4,9.2,21.0,43.8,3.0,8.1,37.2,5.1,5.6,90.3,1.0,3.5,4.5,4.1,2.8,1.5,0.2,2.1,40.3,4.0,0.0,-0.9
06-07,Allen Iverson,DEN,32.0,65.0,0.47692307692307695,31.0,34.0,42.5,26.3,8.9,20.2,44.2,1.0,3.0,31.5,7.5,9.4,79.5,0.4,2.6,3.0,7.2,4.1,1.9,0.2,1.5,42.8,17.0,0.0,-0.2
06-07,Vince Carter,NJN,30.0,82.0,0.5,41.0,41.0,38.1,25.2,8.9,19.5,45.4,1.9,5.3,35.7,5.6,7.0,80.2,1.4,4.6,6.0,4.8,2.6,1.0,0.4,3.2,41.1,13.0,2.0,0.7
06-07,Yao Ming,HOU,26.0,48.0,0.6666666666666666,32.0,16.0,33.8,25.0,8.8,17.1,51.6,0.0,0.0,0.0,7.4,8.6,86.2,2.1,7.3,9.4,2.0,3.5,0.4,2.0,3.3,42.7,20.0,0.0,6.2
06-07,Joe Johnson,ATL,26.0,57.0,0.3684210526315789,21.0,36.0,41.4,25.0,9.4,20.0,47.1,2.1,5.5,38.1,4.1,5.5,74.8,0.9,3.3,4.2,4.4,3.1,1.1,0.2,2.0,37.3,2.0,0.0,-3.1
06-07,Paul Pierce,BOS,29.0,47.0,0.425531914893617,20.0,27.0,37.0,25.0,7.9,18.1,43.9,2.3,5.9,38.9,6.8,8.6,79.6,0.8,5.1,5.9,4.1,3.2,1.0,0.3,2.6,38.9,5.0,0.0,0.0
06-07,Tracy McGrady,HOU,28.0,71.0,0.704225352112676,50.0,21.0,35.8,24.6,9.0,20.8,43.1,1.8,5.4,33.1,4.9,6.9,70.7,0.8,4.5,5.3,6.5,3.0,1.3,0.5,1.9,43.1,15.0,0.0,5.7
06-07,Dirk Nowitzki,DAL,29.0,78.0,0.8205128205128205,64.0,14.0,36.2,24.6,8.6,17.2,50.2,0.9,2.2,41.6,6.4,7.1,90.4,1.6,7.3,8.9,3.4,2.1,0.7,0.8,2.2,42.5,41.0,0.0,8.0
06-07,Zach Randolph,POR,25.0,68.0,0.36764705882352944,25.0,43.0,35.7,23.6,8.8,18.9,46.7,0.2,0.7,29.2,5.8,7.1,81.9,2.9,7.2,10.1,2.2,3.2,0.8,0.2,2.7,38.9,36.0,0.0,-1.9
06-07,Chris Bosh,TOR,23.0,69.0,0.5942028985507246,41.0,28.0,38.5,22.6,7.9,15.9,49.6,0.2,0.5,34.3,6.7,8.6,78.5,2.7,8.0,10.7,2.5,2.6,0.6,1.3,2.4,42.3,42.0,0.0,2.7
06-07,Kevin Garnett,MIN,31.0,76.0,0.42105263157894735,32.0,44.0,39.4,22.4,8.4,17.6,47.6,0.2,0.7,21.4,5.5,6.6,83.5,2.4,10.4,12.8,4.1,2.7,1.2,1.7,2.4,49.8,66.0,3.0,0.1
06-07,Rashard Lewis,SEA,27.0,60.0,0.38333333333333336,23.0,37.0,39.1,22.4,7.7,16.8,46.1,2.5,6.5,39.0,4.4,5.3,84.1,1.5,5.1,6.6,2.4,2.0,1.1,0.7,2.4,37.3,13.0,0.0,-0.5
06-07,Ben Gordon,CHI,24.0,82.0,0.5975609756097561,49.0,33.0,33.0,21.4,7.4,16.3,45.5,1.9,4.6,41.3,4.6,5.4,86.4,0.4,2.7,3.1,3.6,3.0,0.8,0.2,3.1,30.5,0.0,0.0,4.3
06-07,Carlos Boozer,UTA,25.0,74.0,0.6081081081081081,45.0,29.0,34.6,20.9,8.7,15.6,56.1,0.0,0.0,0.0,3.4,5.0,68.5,3.2,8.5,11.7,3.0,2.6,0.9,0.3,2.9,40.5,53.0,0.0,2.2
06-07,Pau Gasol,MEM,26.0,59.0,0.288135593220339,17.0,42.0,36.1,20.8,7.8,14.5,53.8,0.1,0.2,27.3,5.1,6.8,74.8,2.5,7.3,9.8,3.4,2.7,0.5,2.1,2.3,42.8,33.0,1.0,-4.1
06-07,Elton Brand,LAC,28.0,80.0,0.5,40.0,40.0,38.5,20.5,8.1,15.1,53.3,0.0,0.0,100.0,4.4,5.8,76.1,3.4,6.0,9.3,2.9,2.5,1.0,2.2,3.0,43.2,38.0,0.0,0.3
06-07,Amar'e Stoudemire,PHX,24.0,82.0,0.7439024390243902,61.0,21.0,32.8,20.4,7.4,12.9,57.5,0.0,0.0,0.0,5.6,7.1,78.1,2.7,6.9,9.6,1.0,2.8,1.0,1.3,3.6,37.5,46.0,0.0,5.5
