DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
13-14,Kevin Durant,OKC,25.0,81.0,0.7160493827160493,58.0,23.0,38.5,32.0,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,0.7,6.7,7.4,5.5,3.5,1.3,0.7,2.1,51.6,27.0,3.0,6.3
13-14,Carmelo Anthony,NYK,30.0,77.0,0.45454545454545453,35.0,42.0,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6.0,7.0,84.8,1.9,6.2,8.1,3.1,2.6,1.2,0.7,2.9,45.0,22.0,0.0,1.4
13-14,LeBron James,MIA,29.0,77.0,0.6753246753246753,52.0,25.0,37.7,27.1,10.0,17.6,56.7,1.5,4.0,37.9,5.7,7.6,75.0,1.1,5.9,6.9,6.3,3.5,1.6,0.3,1.6,47.2,12.0,1.0,5.3
13-14,Kevin Love,MIN,25.0,77.0,0.5064935064935064,39.0,38.0,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,2.9,9.6,12.5,4.4,2.5,0.8,0.5,1.8,48.9,65.0,3.0,4.6
13-14,James Harden,HOU,24.0,73.0,0.6575342465753424,48.0,25.0,38.0,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,0.8,3.9,4.7,6.1,3.6,1.6,0.4,2.4,42.5,14.0,1.0,5.6
13-14,Blake Griffin,LAC,25.0,80.0,0.7,56.0,24.0,35.8,24.1,9.0,17.0,52.8,0.2,0.6,27.3,6.0,8.4,71.5,2.4,7.1,9.5,3.9,2.8,1.2,0.6,3.3,43.8,43.0,1.0,7.1
13-14,Stephen Curry,GSW,26.0,78.0,0.6410256410256411,50.0,28.0,36.5,24.0,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,0.6,3.7,4.3,8.5,3.8,1.6,0.2,2.5,43.7,28.0,4.0,7.4
13-14,LaMarcus Aldridge,POR,28.0,69.0,0.6666666666666666,46.0,23.0,36.2,23.2,9.4,20.6,45.8,0.0,0.2,20.0,4.3,5.2,82.2,2.4,8.7,11.1,2.6,1.8,0.9,1.0,2.1,44.3,40.0,0.0,5.3
13-14,DeMarcus Cousins,SAC,23.0,71.0,0.39436619718309857,28.0,43.0,32.4,22.7,8.3,16.8,49.6,0.0,0.1,0.0,6.1,8.4,72.6,3.1,8.6,11.7,2.9,3.5,1.5,1.3,3.8,46.1,53.0,0.0,-0.2
13-14,DeMar DeRozan,TOR,24.0,79.0,0.569620253164557,45.0,34.0,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8.0,82.4,0.6,3.7,4.3,4.0,2.2,1.1,0.4,2.5,35.9,2.0,0.0,2.3
13-14,Al Jefferson,CHA,29.0,73.0,0.5205479452054794,38.0,35.0,35.0,21.8,9.6,18.8,50.9,0.0,0.2,20.0,2.6,3.8,69.0,2.1,8.7,10.8,2.1,1.7,0.9,1.1,2.4,42.3,42.0,0.0,0.4
13-14,Russell Westbrook,OKC,25.0,46.0,0.7391304347826086,34.0,12.0,30.7,21.8,7.5,17.2,43.7,1.5,4.7,31.8,5.3,6.4,82.6,1.2,4.5,5.7,6.9,3.8,1.9,0.2,2.3,41.4,11.0,2.0,4.8
