DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
01-02,Allen Iverson,PHI,27.0,60.0,0.6,36.0,24.0,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,0.7,3.8,4.5,5.5,4.0,2.8,0.2,1.7,50.1,4.0,1.0,4.7
01-02,Shaquille O'Neal,LAL,30.0,67.0,0.7611940298507462,51.0,16.0,36.1,27.2,10.6,18.3,57.9,0.0,0.0,0.0,5.9,10.7,55.5,3.5,7.2,10.7,3.0,2.6,0.6,2.0,3.0,49.9,40.0,0.0,8.5
01-02,Paul Pierce,BOS,24.0,82.0,0.5975609756097561,49.0,33.0,40.2,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,1.0,5.9,6.9,3.2,2.9,1.9,1.0,2.9,45.0,17.0,0.0,3.8
01-02,Tracy McGrady,ORL,23.0,76.0,0.5657894736842105,43.0,33.0,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,2.0,5.9,7.8,5.3,2.5,1.6,1.0,1.8,48.0,24.0,1.0,3.9
01-02,Tim Duncan,SAS,26.0,82.0,0.7073170731707317,58.0,24.0,40.6,25.5,9.3,18.3,50.8,0.0,0.1,10.0,6.8,8.5,79.9,3.3,9.4,12.7,3.7,3.2,0.7,2.5,2.6,52.8,67.0,0.0,6.8
01-02,Kobe Bryant,LAL,23.0,80.0,0.7,56.0,24.0,38.3,25.2,9.4,20.0,46.9,0.4,1.7,25.0,6.1,7.4,82.9,1.4,4.1,5.5,5.5,2.8,1.5,0.4,2.9,43.0,11.0,1.0,5.6
01-02,Vince Carter,TOR,25.0,60.0,0.5,30.0,30.0,39.8,24.7,9.3,21.8,42.8,2.0,5.2,38.7,4.1,5.1,79.8,2.3,2.9,5.2,4.0,2.6,1.6,0.8,3.2,41.4,5.0,0.0,1.1
01-02,Chris Webber,SAC,29.0,54.0,0.7777777777777778,42.0,12.0,38.4,24.5,9.9,19.9,49.5,0.1,0.4,26.3,4.7,6.3,74.9,2.8,7.3,10.1,4.8,2.9,1.7,1.4,3.4,50.1,31.0,1.0,7.6
01-02,Dirk Nowitzki,DAL,24.0,76.0,0.6973684210526315,53.0,23.0,38.0,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,1.6,8.4,9.9,2.4,1.9,1.1,1.0,2.9,43.4,38.0,0.0,5.4
01-02,Michael Jordan,WAS,39.0,60.0,0.5,30.0,30.0,34.8,22.9,9.2,22.1,41.6,0.2,0.9,18.9,4.4,5.6,79.0,0.8,4.8,5.7,5.2,2.7,1.4,0.4,2.0,40.3,8.0,0.0,0.3
01-02,Karl Malone,UTA,38.0,80.0,0.5375,43.0,37.0,38.0,22.4,7.9,17.5,45.4,0.1,0.3,36.0,6.4,8.0,79.7,1.8,6.8,8.6,4.3,3.3,1.9,0.7,2.9,43.7,28.0,0.0,0.6
01-02,Antoine Walker,BOS,25.0,81.0,0.5925925925925926,48.0,33.0,42.1,22.1,8.2,20.9,39.4,2.7,8.0,34.4,3.0,4.0,74.1,1.9,7.0,8.8,5.0,3.1,1.5,0.5,2.9,43.1,29.0,2.0,3.0
01-02,Gary Payton,SEA,33.0,82.0,0.5487804878048781,45.0,37.0,40.2,22.1,9.0,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,1.0,3.9,4.8,9.0,2.5,1.6,0.3,2.2,44.6,32.0,2.0,2.5
01-02,Ray Allen,MIL,26.0,69.0,0.5072463768115942,35.0,34.0,36.6,21.8,7.7,16.6,46.2,3.3,7.7,43.4,3.1,3.6,87.3,1.2,3.3,4.5,3.9,2.3,1.3,0.3,2.3,35.4,3.0,0.0,0.7
01-02,Cuttino Mobley,HOU,26.0,74.0,0.3783783783783784,28.0,46.0,42.1,21.7,8.0,18.4,43.8,2.0,5.1,39.5,3.6,4.2,85.0,0.9,3.2,4.1,2.5,2.4,1.5,0.5,2.6,33.8,1.0,0.0,-2.6
01-02,Steve Francis,HOU,25.0,57.0,0.45614035087719296,26.0,31.0,41.1,21.6,7.4,17.7,41.7,1.2,3.7,32.4,5.7,7.4,77.3,1.8,5.2,7.0,6.4,3.9,1.2,0.4,3.0,40.8,14.0,2.0,-0.9
01-02,Jamal Mashburn,CHH,29.0,40.0,0.575,23.0,17.0,39.9,21.5,7.6,18.6,40.7,1.0,2.8,36.6,5.3,6.0,87.6,0.8,5.3,6.1,4.3,2.8,1.1,0.2,2.0,36.2,4.0,0.0,1.2
01-02,Jerry Stackhouse,DET,27.0,76.0,0.5921052631578947,45.0,31.0,35.3,21.4,6.9,17.4,39.7,1.1,3.9,28.7,6.5,7.6,85.8,1.0,3.1,4.1,5.3,3.5,1.0,0.5,2.1,35.4,5.0,0.0,1.3
01-02,Shareef Abdur-Rahim,ATL,25.0,77.0,0.4155844155844156,32.0,45.0,38.7,21.2,7.8,16.8,46.1,0.3,0.9,30.0,5.4,6.8,80.1,2.6,6.5,9.0,3.1,3.2,1.3,1.1,2.8,40.5,32.0,0.0,-2.9
01-02,Peja Stojakovic,SAC,25.0,71.0,0.7323943661971831,52.0,19.0,37.3,21.2,7.7,15.9,48.4,1.8,4.4,41.6,4.0,4.5,87.6,1.0,4.2,5.3,2.5,2.0,1.1,0.2,1.7,33.3,2.0,0.0,5.4
01-02,Kevin Garnett,MIN,26.0,81.0,0.6049382716049383,49.0,32.0,39.2,21.2,8.1,17.3,47.0,0.5,1.4,31.9,4.4,5.5,80.1,3.0,9.1,12.1,5.2,2.8,1.2,1.6,2.3,48.9,59.0,0.0,4.4
01-02,Glenn Robinson,MIL,29.0,66.0,0.5,33.0,33.0,35.6,20.7,8.1,17.4,46.7,0.9,2.7,32.6,3.6,4.3,83.7,1.1,5.1,6.2,2.5,2.6,1.5,0.6,2.6,35.5,13.0,0.0,-1.1
01-02,Michael Finley,DAL,29.0,69.0,0.6521739130434783,45.0,24.0,39.9,20.6,8.2,17.8,46.3,1.1,3.2,33.9,3.0,3.6,83.7,1.3,3.9,5.2,3.3,1.7,0.9,0.4,2.1,34.1,5.0,0.0,3.2
01-02,Jalen Rose,CHI,29.0,83.0,0.42168674698795183,35.0,48.0,38.0,20.4,8.0,17.6,45.5,1.1,3.0,36.2,3.4,4.0,83.9,0.5,4.0,4.5,4.3,2.4,0.9,0.5,3.0,34.3,5.0,0.0,-1.5
01-02,Stephon Marbury,PHX,25.0,82.0,0.43902439024390244,36.0,46.0,38.9,20.4,7.6,17.2,44.2,0.9,3.0,28.6,4.3,5.5,78.1,0.9,2.3,3.2,8.1,3.5,0.9,0.2,2.3,36.3,29.0,0.0,-1.2
01-02,Allan Houston,NYK,31.0,77.0,0.36363636363636365,28.0,49.0,37.9,20.4,7.4,16.9,43.7,1.8,4.5,39.3,3.8,4.4,87.0,0.5,2.8,3.3,2.5,2.2,0.7,0.1,2.4,28.3,1.0,0.0,-4.5
01-02,Richard Hamilton,WAS,24.0,63.0,0.42857142857142855,27.0,36.0,34.9,20.0,7.5,17.2,43.5,0.3,0.7,38.1,4.8,5.3,89.0,1.2,2.3,3.4,2.7,2.1,0.6,0.2,2.2,28.6,0.0,0.0,-0.4
01-02,Antawn Jamison,GSW,26.0,82.0,0.25609756097560976,21.0,61.0,37.0,19.7,7.5,16.8,44.7,0.8,2.6,32.4,3.9,5.4,73.4,2.6,4.2,6.8,2.0,2.0,0.9,0.5,2.3,33.1,16.0,0.0,-4.5
01-02,Sam Cassell,MIL,32.0,74.0,0.527027027027027,39.0,35.0,35.2,19.7,7.5,16.2,46.3,1.0,2.8,34.8,3.8,4.4,86.0,0.7,3.5,4.2,6.7,2.4,1.2,0.2,2.8,36.5,11.0,0.0,1.5
01-02,Latrell Sprewell,NYK,31.0,81.0,0.35802469135802467,29.0,52.0,41.1,19.4,7.1,17.5,40.4,1.8,5.0,36.0,3.5,4.3,82.1,0.7,3.0,3.7,3.9,2.8,1.2,0.2,2.0,30.9,0.0,0.0,-2.9
01-02,Jason Terry,ATL,24.0,78.0,0.4230769230769231,33.0,45.0,38.0,19.3,6.7,15.6,43.0,2.2,5.7,38.7,3.6,4.4,83.5,0.5,2.9,3.5,5.7,2.3,1.8,0.2,2.0,35.7,8.0,0.0,-2.1
01-02,Rasheed Wallace,POR,27.0,79.0,0.620253164556962,49.0,30.0,37.5,19.3,7.6,16.3,46.9,1.4,4.0,36.0,2.5,3.5,73.4,1.7,6.4,8.2,1.9,1.7,1.3,1.3,2.7,37.9,25.0,0.0,4.6
01-02,Shawn Marion,PHX,24.0,81.0,0.4444444444444444,36.0,45.0,38.4,19.1,8.1,17.2,46.9,0.6,1.5,39.3,2.4,2.8,84.5,2.6,7.3,9.9,2.0,1.8,1.8,1.1,2.6,40.9,43.0,0.0,-0.1
