DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
07-08,LeBron James,CLE,23.0,75.0,60.0,45.0,30.0,40.4,30.0,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,1.8,6.1,7.9,7.2,3.4,1.8,1.1,2.2,55.6,31.0,7.0,1.8
07-08,Kobe Bryant,LAL,29.0,82.0,69.51219512195121,57.0,25.0,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9.0,84.0,1.1,5.2,6.3,5.4,3.1,1.8,0.5,2.8,47.8,20.0,0.0,7.3
07-08,Allen Iverson,DEN,33.0,82.0,60.97560975609756,50.0,32.0,41.8,26.4,8.7,19.0,45.8,1.2,3.4,34.5,7.9,9.7,80.9,0.6,2.4,3.0,7.1,3.0,2.0,0.1,1.3,44.0,15.0,0.0,4.4
07-08,Carmelo Anthony,DEN,24.0,77.0,61.038961038961034,47.0,30.0,36.4,25.7,9.5,19.2,49.2,0.8,2.1,35.4,6.0,7.7,78.6,2.3,5.1,7.4,3.4,3.3,1.3,0.5,3.3,41.7,22.0,0.0,2.1
07-08,Amar'e Stoudemire,PHX,25.0,79.0,67.08860759493672,53.0,26.0,33.9,25.2,9.0,15.3,59.0,0.1,0.4,16.1,7.0,8.7,80.5,2.3,6.8,9.1,1.5,2.2,0.8,2.1,3.7,44.8,36.0,0.0,5.3
07-08,Dwyane Wade,MIA,26.0,51.0,19.607843137254903,10.0,41.0,38.3,24.6,8.6,18.4,46.9,0.4,1.5,28.6,6.9,9.2,75.8,0.9,3.3,4.2,6.9,4.4,1.7,0.7,2.7,42.9,9.0,0.0,-5.0
07-08,Kevin Martin,SAC,25.0,61.0,49.18032786885246,30.0,31.0,36.3,23.7,6.8,15.0,45.6,1.8,4.4,40.2,8.2,9.5,86.9,0.8,3.7,4.5,2.1,2.1,1.0,0.1,2.5,33.3,2.0,0.0,-0.5
07-08,Dirk Nowitzki,DAL,30.0,77.0,63.63636363636363,49.0,28.0,36.0,23.6,8.2,17.1,47.9,1.0,2.9,35.9,6.2,7.1,87.9,1.2,7.3,8.6,3.5,2.1,0.7,0.9,2.6,41.7,25.0,1.0,6.3
07-08,Michael Redd,MIL,28.0,72.0,29.166666666666668,21.0,51.0,37.5,22.7,7.6,17.3,44.2,1.8,5.0,36.2,5.6,6.8,82.0,1.2,3.1,4.3,3.4,2.5,0.9,0.2,1.7,33.7,2.0,0.0,-5.1
07-08,Richard Jefferson,NJN,28.0,82.0,41.46341463414634,34.0,48.0,39.0,22.6,7.5,16.2,46.6,0.9,2.6,36.2,6.6,8.3,79.8,1.1,3.0,4.2,3.1,2.4,0.9,0.3,2.7,33.4,2.0,0.0,-3.7
07-08,Chris Bosh,TOR,24.0,67.0,55.223880597014926,37.0,30.0,36.2,22.3,7.6,15.3,49.4,0.1,0.4,40.0,7.0,8.3,84.4,2.6,6.1,8.7,2.6,2.3,0.9,1.0,2.3,40.1,28.0,0.0,5.4
07-08,Corey Maggette,LAC,28.0,70.0,30.0,21.0,49.0,35.7,22.1,6.5,14.3,45.8,1.1,2.9,38.4,7.9,9.7,81.2,1.1,4.5,5.6,2.7,2.8,1.0,0.1,3.0,33.5,6.0,0.0,-3.4
07-08,Yao Ming,HOU,27.0,55.0,65.45454545454545,36.0,19.0,37.2,22.0,7.9,15.5,50.7,0.0,0.0,0.0,6.3,7.4,85.0,3.1,7.7,10.8,2.3,3.3,0.5,2.0,3.1,42.6,33.0,0.0,3.5
