DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
09-10,Kevin Durant,OKC,21.0,82.0,0.6097560975609756,50.0,32.0,39.5,30.1,9.7,20.3,47.6,1.6,4.3,36.5,9.2,10.2,90.0,1.3,6.3,7.6,2.8,3.3,1.4,1.0,2.1,47.4,25.0,0.0,5.3
09-10,LeBron James,CLE,25.0,76.0,0.7894736842105263,60.0,16.0,39.0,29.7,10.1,20.1,50.3,1.7,5.1,33.3,7.8,10.2,76.7,0.9,6.4,7.3,8.6,3.4,1.6,1.0,1.6,55.8,31.0,4.0,8.6
09-10,Carmelo Anthony,DEN,26.0,69.0,0.6521739130434783,45.0,24.0,38.2,28.2,10.0,21.8,45.8,0.9,2.7,31.6,7.4,8.9,83.0,2.2,4.4,6.6,3.2,3.0,1.3,0.4,3.3,43.0,10.0,0.0,4.1
09-10,Kobe Bryant,LAL,31.0,73.0,0.6986301369863014,51.0,22.0,38.8,27.0,9.8,21.5,45.6,1.4,4.1,32.9,6.0,7.4,81.1,1.1,4.3,5.4,5.0,3.2,1.5,0.3,2.6,43.2,7.0,0.0,6.4
09-10,Dwyane Wade,MIA,28.0,77.0,0.5844155844155844,45.0,32.0,36.3,26.6,9.3,19.6,47.6,0.9,3.2,30.0,6.9,9.1,76.1,1.4,3.5,4.8,6.5,3.3,1.8,1.1,2.4,47.6,17.0,0.0,4.6
09-10,Monta Ellis,GSW,24.0,64.0,0.296875,19.0,45.0,41.4,25.5,9.9,22.0,44.9,1.2,3.6,33.8,4.6,6.1,75.3,0.7,3.3,4.0,5.3,3.8,2.2,0.4,3.0,42.3,6.0,0.0,-6.2
09-10,Dirk Nowitzki,DAL,32.0,81.0,0.6666666666666666,54.0,27.0,37.5,25.0,8.9,18.5,48.1,0.6,1.5,42.1,6.6,7.2,91.5,1.0,6.7,7.7,2.7,1.8,0.9,1.0,2.6,41.9,19.0,1.0,4.2
09-10,Danny Granger,IND,27.0,62.0,0.4032258064516129,25.0,37.0,36.7,24.1,7.9,18.4,42.8,2.5,7.1,36.1,5.9,6.9,84.8,1.1,4.4,5.5,2.8,2.5,1.5,0.8,3.0,39.4,3.0,0.0,-0.6
09-10,Chris Bosh,TOR,26.0,70.0,0.5,35.0,35.0,36.1,24.0,8.6,16.5,51.8,0.1,0.3,36.4,6.7,8.4,79.7,2.9,7.9,10.8,2.4,2.4,0.6,1.0,2.4,42.9,49.0,0.0,0.1
09-10,Amar'e Stoudemire,PHX,27.0,82.0,0.6585365853658537,54.0,28.0,34.6,23.1,8.6,15.4,55.7,0.0,0.1,16.7,5.9,7.7,77.1,2.8,6.1,8.9,1.0,2.6,0.6,1.0,3.4,37.7,31.0,0.0,3.9
09-10,Gilbert Arenas,WAS,28.0,32.0,0.34375,11.0,21.0,36.5,22.6,7.9,19.3,41.1,2.0,5.7,34.8,4.8,6.5,73.9,0.5,3.6,4.2,7.2,3.7,1.3,0.3,3.0,39.4,5.0,1.0,-2.6
09-10,Brandon Roy,POR,25.0,65.0,0.6461538461538462,42.0,23.0,37.2,21.5,7.6,16.0,47.3,1.1,3.4,33.0,5.3,6.8,78.0,1.1,3.3,4.4,4.7,2.0,0.9,0.2,2.1,35.4,1.0,0.0,3.8
09-10,Joe Johnson,ATL,29.0,76.0,0.6578947368421053,50.0,26.0,38.0,21.3,8.4,18.2,45.8,1.7,4.6,36.9,2.9,3.5,81.8,1.0,3.7,4.6,4.9,1.9,1.1,0.1,1.9,35.7,4.0,0.0,4.6
09-10,Derrick Rose,CHI,21.0,78.0,0.5256410256410257,41.0,37.0,36.8,20.8,8.6,17.6,48.9,0.2,0.8,26.7,3.3,4.3,76.6,0.8,2.9,3.8,6.0,2.8,0.7,0.3,1.2,34.7,6.0,0.0,-0.5
09-10,Zach Randolph,MEM,28.0,81.0,0.48148148148148145,39.0,42.0,37.7,20.8,8.0,16.5,48.8,0.2,0.6,28.8,4.5,5.7,77.8,4.1,7.7,11.7,1.8,2.1,1.0,0.4,2.8,39.7,57.0,0.0,0.2
09-10,Stephen Jackson,CHA,32.0,81.0,0.5432098765432098,44.0,37.0,38.6,20.6,7.4,17.5,42.3,1.6,4.9,32.8,4.2,5.4,77.9,1.0,4.0,5.0,3.7,3.2,1.6,0.5,2.4,35.4,3.0,0.0,1.6
09-10,Kevin Martin,HOU,27.0,46.0,0.34782608695652173,16.0,30.0,35.5,20.6,6.3,15.1,41.7,1.5,4.6,33.3,6.5,7.4,87.6,0.6,2.9,3.6,2.4,2.0,1.0,0.1,2.1,29.9,1.0,0.0,-3.2
09-10,David Lee,NYK,27.0,81.0,0.345679012345679,28.0,53.0,37.3,20.2,8.5,15.5,54.5,0.0,0.1,0.0,3.3,4.1,81.2,2.8,8.9,11.7,3.6,2.3,1.0,0.5,3.2,42.1,53.0,1.0,-3.2
09-10,Tyreke Evans,SAC,20.0,72.0,0.3194444444444444,23.0,49.0,37.2,20.1,7.4,16.2,45.8,0.5,2.0,25.5,4.8,6.5,74.8,0.9,4.4,5.3,5.8,3.0,1.5,0.4,2.8,37.7,13.0,1.0,-4.7
09-10,Corey Maggette,GSW,30.0,70.0,0.3,21.0,49.0,29.7,19.8,6.5,12.7,51.6,0.2,0.7,26.0,6.6,7.9,83.5,1.3,4.0,5.3,2.5,2.4,0.7,0.1,3.3,29.9,5.0,0.0,-4.1
09-10,Rudy Gay,MEM,23.0,80.0,0.4875,39.0,41.0,39.7,19.6,7.5,16.1,46.6,0.8,2.5,32.7,3.8,5.0,75.3,1.4,4.5,5.9,1.9,2.1,1.5,0.8,2.5,34.2,8.0,0.0,0.1
