DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
03-04,J.R. Bremer,GSW,23.0,36.0,0.3055555555555556,11.0,25.0,12.2,3.3,1.2,4.4,27.2,0.5,2.1,25.7,0.4,0.6,65.0,0.3,0.8,1.0,1.4,0.7,0.5,0.1,0.9,7.8,0.0,0.0,-1.5
03-04,Mitchell Butler,WAS,33.0,41.0,0.2682926829268293,11.0,30.0,13.5,3.3,1.3,3.0,43.5,0.3,0.7,36.7,0.4,0.6,62.5,0.6,1.1,1.7,0.8,0.6,0.5,0.1,1.3,7.8,0.0,0.0,0.4
03-04,Andrew DeClercq,ORL,31.0,71.0,0.23943661971830985,17.0,54.0,17.0,3.2,1.3,2.7,47.7,0.0,0.0,0.0,0.6,0.8,81.5,1.8,2.6,4.5,0.6,0.8,0.7,0.5,3.1,12.1,1.0,0.0,-1.4
03-04,Desmond Penigar,ORL,22.0,10.0,0.4,4.0,6.0,8.6,3.2,1.4,2.8,50.0,0.0,0.0,0.0,0.4,0.4,100.0,0.6,1.8,2.4,0.3,0.6,0.2,0.2,1.4,7.1,0.0,0.0,2.0
03-04,Loren Woods,MIA,26.0,38.0,0.34210526315789475,13.0,25.0,13.2,3.2,1.2,2.5,45.8,0.0,0.0,0.0,0.9,1.4,60.0,1.7,1.8,3.5,0.3,0.7,0.3,0.5,1.4,9.5,0.0,0.0,-0.6
03-04,Samaki Walker,MIA,28.0,33.0,0.48484848484848486,16.0,17.0,12.6,3.2,1.2,3.0,38.4,0.0,0.1,0.0,0.9,1.3,65.9,1.3,2.1,3.4,0.2,0.5,0.3,0.3,1.6,8.9,0.0,0.0,-0.8
03-04,Steven Hunter,ORL,22.0,59.0,0.22033898305084745,13.0,46.0,13.4,3.2,1.4,2.6,52.9,0.0,0.0,0.0,0.4,1.2,33.3,0.9,2.0,2.9,0.2,0.5,0.1,1.2,1.7,10.4,0.0,0.0,-3.2
03-04,Zoran Planinic,NJN,21.0,49.0,0.6326530612244898,31.0,18.0,9.5,3.1,1.1,2.6,41.1,0.2,0.7,28.1,0.8,1.2,63.3,0.3,0.8,1.1,1.4,0.7,0.3,0.1,1.4,6.8,0.0,0.0,-1.6
03-04,Adonal Foyle,GSW,29.0,44.0,0.4772727272727273,21.0,23.0,13.1,3.1,1.3,3.0,45.4,0.0,0.0,0.0,0.4,0.8,54.3,1.2,2.6,3.8,0.4,0.5,0.1,1.0,1.5,11.3,2.0,0.0,-1.9
03-04,Greg Buckner,PHI,27.0,53.0,0.39622641509433965,21.0,32.0,13.2,3.1,1.2,3.3,37.7,0.2,0.8,27.3,0.4,0.5,74.1,0.5,1.4,1.9,0.8,0.6,0.4,0.1,1.5,7.5,1.0,0.0,-1.2
