DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
02-03,Tracy McGrady,ORL,24.0,75.0,0.52,39.0,36.0,39.3,32.1,11.1,24.2,45.7,2.3,6.0,38.6,7.7,9.7,79.3,1.6,4.9,6.5,5.5,2.6,1.7,0.8,2.1,52.8,19.0,1.0,2.7
02-03,Kobe Bryant,LAL,24.0,82.0,0.6097560975609756,50.0,32.0,41.5,30.0,10.6,23.5,45.1,1.5,4.0,38.3,7.3,8.7,84.3,1.3,5.6,6.9,5.9,3.5,2.2,0.8,2.7,52.6,23.0,5.0,3.2
02-03,Allen Iverson,PHI,28.0,82.0,0.5853658536585366,48.0,34.0,42.5,27.6,9.8,23.7,41.4,1.0,3.7,27.7,7.0,9.0,77.4,0.8,3.4,4.2,5.5,3.5,2.7,0.2,1.8,46.1,6.0,0.0,2.2
02-03,Shaquille O'Neal,LAL,31.0,67.0,0.6716417910447762,45.0,22.0,37.8,27.5,10.4,18.1,57.4,0.0,0.0,0.0,6.7,10.8,62.2,3.9,7.2,11.1,3.1,2.9,0.6,2.4,3.4,51.3,46.0,0.0,5.4
02-03,Paul Pierce,BOS,25.0,79.0,0.5316455696202531,42.0,37.0,39.2,25.9,8.4,20.2,41.6,1.5,4.9,30.2,7.6,9.5,80.2,1.3,6.0,7.3,4.4,3.6,1.8,0.8,2.9,45.3,20.0,1.0,1.6
02-03,Dirk Nowitzki,DAL,25.0,80.0,0.7375,59.0,21.0,39.0,25.1,8.6,18.6,46.3,1.9,4.9,37.9,6.0,6.9,88.1,1.0,8.9,9.9,3.0,1.9,1.4,1.0,2.6,46.8,41.0,0.0,9.7
02-03,Tim Duncan,SAS,27.0,81.0,0.7407407407407407,60.0,21.0,39.3,23.3,8.8,17.2,51.3,0.1,0.3,27.3,5.6,7.8,71.0,3.2,9.7,12.9,3.9,3.1,0.7,2.9,2.9,52.3,58.0,1.0,6.8
02-03,Chris Webber,SAC,30.0,67.0,0.7313432835820896,49.0,18.0,39.1,23.0,9.9,21.4,46.1,0.1,0.3,23.8,3.2,5.3,60.7,2.4,8.1,10.5,5.4,3.2,1.6,1.3,3.0,49.3,45.0,3.0,6.0
02-03,Kevin Garnett,MIN,27.0,82.0,0.6219512195121951,51.0,31.0,40.5,23.0,9.1,18.1,50.2,0.2,0.9,28.2,4.6,6.1,75.1,3.0,10.5,13.4,6.0,2.8,1.4,1.6,2.4,54.2,68.0,6.0,5.1
02-03,Ray Allen,SEA,27.0,76.0,0.5526315789473685,42.0,34.0,37.9,22.5,7.9,17.9,43.9,2.6,7.0,37.7,4.2,4.5,91.6,1.2,3.8,5.0,4.4,2.6,1.4,0.2,2.9,37.2,3.0,1.0,2.2
