DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
12-13,Carmelo Anthony,NYK,29.0,67.0,0.7014925373134329,47.0,20.0,37.0,28.7,10.0,22.2,44.9,2.3,6.2,37.9,6.3,7.6,83.0,2.0,4.9,6.9,2.6,2.6,0.8,0.5,3.1,41.9,10.0,0.0,4.6
12-13,Kevin Durant,OKC,24.0,81.0,0.7407407407407407,60.0,21.0,38.5,28.1,9.0,17.7,51.0,1.7,4.1,41.6,8.4,9.3,90.5,0.6,7.3,7.9,4.6,3.5,1.4,1.3,1.8,49.3,19.0,3.0,8.9
12-13,Kobe Bryant,LAL,34.0,78.0,0.5384615384615384,42.0,36.0,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8.0,83.9,0.8,4.7,5.6,6.0,3.7,1.4,0.3,2.2,44.4,16.0,2.0,1.8
12-13,LeBron James,MIA,28.0,76.0,0.8026315789473685,61.0,15.0,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7.0,75.3,1.3,6.8,8.0,7.3,3.0,1.7,0.9,1.4,52.1,36.0,4.0,9.5
12-13,James Harden,HOU,23.0,78.0,0.5512820512820513,43.0,35.0,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,0.8,4.1,4.9,5.8,3.8,1.8,0.5,2.3,43.7,9.0,1.0,2.5
12-13,Russell Westbrook,OKC,24.0,82.0,0.7317073170731707,60.0,22.0,34.9,23.2,8.2,18.7,43.8,1.2,3.7,32.3,5.6,7.0,80.0,1.4,3.9,5.2,7.4,3.3,1.8,0.3,2.3,43.4,23.0,1.0,7.7
12-13,Stephen Curry,GSW,25.0,78.0,0.5769230769230769,45.0,33.0,38.2,22.9,8.0,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90.0,0.8,3.3,4.0,6.9,3.1,1.6,0.2,2.5,40.3,15.0,0.0,1.7
12-13,Kyrie Irving,CLE,21.0,59.0,0.3220338983050847,19.0,40.0,34.7,22.5,8.2,18.1,45.2,1.8,4.7,39.1,4.2,4.9,85.5,0.6,3.1,3.7,5.9,3.2,1.5,0.4,2.5,38.1,4.0,0.0,-3.0
12-13,Dwyane Wade,MIA,31.0,69.0,0.7971014492753623,55.0,14.0,34.6,21.2,8.2,15.8,52.1,0.2,1.0,25.8,4.5,6.2,72.5,1.2,3.7,5.0,5.1,2.8,1.9,0.8,2.0,40.0,4.0,0.0,8.3
12-13,LaMarcus Aldridge,POR,27.0,74.0,0.43243243243243246,32.0,42.0,37.7,21.1,8.6,17.8,48.4,0.0,0.2,14.3,3.8,4.7,81.0,2.4,6.7,9.1,2.6,1.9,0.8,1.2,2.5,40.1,38.0,0.0,-0.3
