DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
16-17,Russell Westbrook,OKC,28.0,81.0,0.5679012345679012,46.0,35.0,34.6,31.6,10.2,24.0,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9.0,10.7,10.4,5.4,1.6,0.4,2.3,60.6,62.0,42.0,3.1
16-17,James Harden,HOU,27.0,81.0,0.6666666666666666,54.0,27.0,36.4,29.1,8.3,18.9,44.0,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7.0,8.1,11.2,5.7,1.5,0.5,2.7,55.8,64.0,22.0,5.2
16-17,Isaiah Thomas,BOS,28.0,76.0,0.6710526315789473,51.0,25.0,33.8,28.9,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,41.5,5.0,0.0,3.6
16-17,Anthony Davis,NOP,24.0,75.0,0.41333333333333333,31.0,44.0,36.1,28.0,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,53.3,49.0,0.0,0.7
16-17,DeMar DeRozan,TOR,27.0,74.0,0.6351351351351351,47.0,27.0,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,40.7,5.0,0.0,2.0
16-17,Damian Lillard,POR,26.0,75.0,0.5066666666666667,38.0,37.0,35.9,27.0,8.8,19.8,44.4,2.9,7.7,37.0,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2.0,42.6,11.0,0.0,1.1
16-17,DeMarcus Cousins,NOP,26.0,72.0,0.4166666666666667,30.0,42.0,34.2,27.0,9.0,19.9,45.2,1.8,5.0,36.1,7.2,9.3,77.2,2.1,8.9,11.0,4.6,3.7,1.4,1.3,3.9,51.4,46.0,2.0,-0.3
16-17,LeBron James,CLE,32.0,74.0,0.6891891891891891,51.0,23.0,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42.0,13.0,6.5
16-17,Kawhi Leonard,SAS,26.0,74.0,0.7297297297297297,54.0,20.0,33.4,25.5,8.6,17.7,48.5,2.0,5.2,38.0,6.3,7.2,88.0,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,43.3,9.0,0.0,5.9
16-17,Stephen Curry,GSW,29.0,79.0,0.8227848101265823,65.0,14.0,33.4,25.3,8.5,18.3,46.8,4.1,10.0,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3.0,1.8,0.2,2.3,43.6,9.0,0.0,12.8
