DATE,PLAYER,TEAM,AGE,GP,WLP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
04-05,Allen Iverson,PHI,30.0,75.0,0.5466666666666666,41.0,34.0,42.3,30.7,10.3,24.2,42.4,1.4,4.5,30.8,8.7,10.5,83.5,0.7,3.3,4.0,7.9,4.6,2.4,0.1,1.9,50.4,24.0,0.0,0.2
04-05,Kobe Bryant,LAL,26.0,66.0,0.42424242424242425,28.0,38.0,40.8,27.6,8.7,20.1,43.3,2.0,5.9,33.9,8.2,10.1,81.6,1.4,4.5,5.9,6.0,4.1,1.3,0.8,2.6,46.0,18.0,5.0,-1.8
04-05,LeBron James,CLE,20.0,80.0,0.5125,41.0,39.0,42.3,27.2,9.9,21.1,47.2,1.4,3.9,35.1,6.0,8.0,75.0,1.4,6.0,7.4,7.2,3.3,2.2,0.7,1.8,52.1,25.0,4.0,1.9
04-05,Dirk Nowitzki,DAL,27.0,78.0,0.717948717948718,56.0,22.0,38.8,26.1,8.5,18.5,45.9,1.2,2.9,39.9,7.9,9.1,86.9,1.2,8.5,9.7,3.1,2.3,1.2,1.5,2.8,48.4,37.0,0.0,7.5
04-05,Amar'e Stoudemire,PHX,22.0,80.0,0.75,60.0,20.0,36.1,26.0,9.3,16.7,55.9,0.0,0.2,18.8,7.3,9.9,73.3,2.7,6.2,8.9,1.6,2.4,1.0,1.6,3.5,44.6,27.0,0.0,7.6
04-05,Tracy McGrady,HOU,26.0,78.0,0.6282051282051282,49.0,29.0,40.9,25.7,9.2,21.3,43.1,1.8,5.6,32.6,5.5,7.1,77.4,0.9,5.3,6.2,5.7,2.6,1.7,0.7,2.1,46.4,13.0,0.0,3.7
04-05,Gilbert Arenas,WAS,23.0,80.0,0.55,44.0,36.0,41.0,25.5,8.2,19.0,43.1,2.6,7.0,36.5,6.5,8.0,81.4,1.0,3.7,4.7,5.1,3.0,1.7,0.3,3.1,41.9,2.0,0.0,1.2
04-05,Metta World Peace,IND,25.0,7.0,0.8571428571428571,6.0,1.0,41.4,24.6,8.4,17.0,49.6,1.0,2.4,41.2,6.7,7.3,92.2,1.1,5.3,6.4,3.1,2.4,1.7,0.9,3.9,42.3,0.0,0.0,5.7
04-05,Vince Carter,NJN,28.0,77.0,0.5194805194805194,40.0,37.0,36.9,24.5,9.0,20.0,45.2,1.6,4.1,40.6,4.8,6.0,79.8,1.4,3.8,5.2,4.2,2.2,1.4,0.6,3.2,41.0,7.0,0.0,0.5
04-05,Jermaine O'Neal,IND,26.0,44.0,0.5227272727272727,23.0,21.0,35.0,24.3,8.8,19.4,45.2,0.0,0.1,16.7,6.7,8.9,75.4,1.9,6.9,8.8,1.9,3.0,0.6,2.0,3.9,42.4,17.0,0.0,0.8
04-05,Dwyane Wade,MIA,23.0,77.0,0.7272727272727273,56.0,21.0,38.7,24.1,8.2,17.1,47.8,0.2,0.6,28.9,7.5,9.9,76.2,1.4,3.7,5.2,6.8,4.2,1.6,1.1,3.0,44.1,16.0,1.0,5.2
04-05,Ray Allen,SEA,29.0,78.0,0.6410256410256411,50.0,28.0,39.3,23.9,8.2,19.2,42.8,2.7,7.1,37.6,4.8,5.5,88.3,1.0,3.4,4.4,3.7,2.2,1.1,0.1,2.1,36.1,1.0,0.0,3.5
04-05,Michael Redd,MIL,25.0,75.0,0.37333333333333335,28.0,47.0,38.0,23.0,8.3,18.9,44.1,1.4,3.9,35.5,4.9,5.8,85.4,1.0,3.2,4.2,2.3,1.8,0.8,0.1,2.0,32.5,1.0,0.0,-2.6
04-05,Shaquille O'Neal,MIA,33.0,73.0,0.726027397260274,53.0,20.0,34.2,22.9,9.0,15.0,60.1,0.0,0.0,0.0,4.8,10.5,46.1,3.5,6.9,10.4,2.7,2.8,0.5,2.3,3.6,45.2,43.0,0.0,6.5
04-05,Richard Jefferson,NJN,25.0,33.0,0.36363636363636365,12.0,21.0,41.3,22.2,7.2,17.1,42.2,0.9,2.7,33.7,6.9,8.2,84.4,1.5,5.8,7.3,4.0,4.0,1.0,0.5,3.3,37.5,9.0,0.0,-3.8
04-05,Corey Maggette,LAC,25.0,66.0,0.4090909090909091,27.0,39.0,37.1,22.2,6.4,14.9,43.1,0.8,2.5,30.4,8.5,10.0,85.7,1.1,4.9,6.0,3.4,3.0,1.1,0.1,2.9,35.1,10.0,0.0,-0.3
04-05,Kevin Garnett,MIN,29.0,82.0,0.5365853658536586,44.0,38.0,38.1,22.2,8.3,16.6,50.2,0.1,0.3,24.0,5.4,6.7,81.1,3.0,10.5,13.5,5.7,2.7,1.5,1.4,2.5,52.7,69.0,1.0,1.7
04-05,Larry Hughes,WAS,26.0,61.0,0.5737704918032787,35.0,26.0,38.6,22.0,7.7,17.8,43.0,1.0,3.4,28.2,5.8,7.4,77.7,1.2,5.0,6.3,4.7,2.5,2.9,0.3,2.8,43.6,7.0,1.0,1.5
04-05,Stephon Marbury,NYK,28.0,82.0,0.4024390243902439,33.0,49.0,40.2,21.7,7.4,16.0,46.2,1.4,4.0,35.4,5.6,6.7,83.4,0.6,2.4,3.0,8.1,2.8,1.5,0.1,2.3,39.4,24.0,0.0,-0.3
04-05,Jason Richardson,GSW,24.0,72.0,0.4583333333333333,33.0,39.0,37.8,21.7,8.5,19.0,44.6,1.7,5.1,33.8,3.0,4.3,69.3,1.7,4.2,5.9,3.9,2.3,1.5,0.4,2.2,37.9,9.0,0.0,-1.9
04-05,Paul Pierce,BOS,27.0,82.0,0.5487804878048781,45.0,37.0,36.1,21.6,6.8,14.9,45.5,1.3,3.6,37.0,6.7,8.1,82.2,1.0,5.6,6.6,4.2,2.8,1.6,0.5,3.1,39.3,17.0,2.0,2.2
04-05,Steve Francis,ORL,28.0,78.0,0.44871794871794873,35.0,43.0,38.1,21.3,7.2,17.1,42.3,0.5,1.6,29.9,6.4,7.8,82.3,1.6,4.2,5.8,7.0,4.1,1.4,0.4,3.5,40.1,21.0,0.0,-0.7
04-05,Carmelo Anthony,DEN,21.0,75.0,0.6266666666666667,47.0,28.0,34.8,20.8,7.1,16.4,43.1,0.6,2.1,26.6,6.1,7.6,79.6,1.9,3.8,5.7,2.6,3.0,0.9,0.4,3.1,32.4,4.0,0.0,2.2
04-05,Rashard Lewis,SEA,25.0,71.0,0.676056338028169,48.0,23.0,38.1,20.5,7.5,16.2,46.2,2.4,6.1,40.0,3.1,4.0,77.7,1.5,3.9,5.5,1.3,1.7,1.1,0.9,2.2,33.1,7.0,0.0,4.6
04-05,Tim Duncan,SAS,29.0,66.0,0.7575757575757576,50.0,16.0,33.4,20.3,7.8,15.8,49.6,0.0,0.1,33.3,4.6,6.9,67.0,3.1,8.0,11.1,2.7,1.9,0.7,2.6,2.2,45.7,44.0,0.0,10.5
04-05,Peja Stojakovic,SAC,28.0,66.0,0.6363636363636364,42.0,24.0,38.5,20.1,6.8,15.4,44.4,2.6,6.6,40.2,3.8,4.2,92.0,0.9,3.4,4.3,2.1,1.5,1.2,0.2,2.4,31.0,1.0,0.0,1.7
04-05,Elton Brand,LAC,26.0,81.0,0.4567901234567901,37.0,44.0,37.1,20.0,7.8,15.4,50.3,0.0,0.0,0.0,4.5,6.0,75.2,3.7,5.9,9.5,2.6,2.3,0.8,2.1,3.0,41.6,41.0,0.0,2.2
04-05,Grant Hill,ORL,32.0,67.0,0.47761194029850745,32.0,35.0,35.0,19.7,7.7,15.1,50.9,0.0,0.2,23.1,4.2,5.1,82.1,1.1,3.6,4.7,3.3,2.4,1.4,0.4,2.1,33.5,2.0,0.0,-0.2
04-05,Mike Bibby,SAC,27.0,80.0,0.6,48.0,32.0,38.6,19.6,7.0,15.8,44.3,1.6,4.6,36.0,4.0,5.2,77.5,1.0,3.2,4.2,6.8,2.5,1.6,0.4,2.4,38.0,14.0,1.0,2.3
04-05,Antawn Jamison,WAS,29.0,68.0,0.5588235294117647,38.0,30.0,38.4,19.6,7.6,17.5,43.7,1.0,3.1,34.1,3.3,4.4,76.0,2.4,5.3,7.6,2.3,1.7,0.8,0.2,2.2,33.6,24.0,0.0,1.8
04-05,Chris Webber,PHI,32.0,67.0,0.582089552238806,39.0,28.0,35.4,19.5,8.3,19.1,43.3,0.2,0.7,34.1,2.7,3.4,79.4,1.9,7.2,9.1,4.7,2.7,1.4,0.8,3.2,41.4,31.0,4.0,0.8
04-05,Shawn Marion,PHX,27.0,81.0,0.7654320987654321,62.0,19.0,38.8,19.4,7.6,15.9,47.6,1.4,4.2,33.4,2.8,3.4,83.3,2.9,8.4,11.3,1.9,1.5,2.0,1.5,2.5,44.7,53.0,0.0,8.1
04-05,Baron Davis,GSW,26.0,46.0,0.45652173913043476,21.0,25.0,34.4,19.2,6.3,16.3,38.7,2.6,7.7,33.3,4.0,5.3,76.1,0.7,3.1,3.8,7.9,2.8,1.8,0.3,2.7,39.0,12.0,1.0,1.3
04-05,Antoine Walker,BOS,28.0,77.0,0.33766233766233766,26.0,51.0,38.5,19.1,7.5,17.9,42.2,1.4,4.4,32.3,2.6,4.8,53.9,2.4,6.7,9.0,3.4,3.3,1.2,0.8,2.8,37.6,31.0,0.0,-6.8
04-05,Zach Randolph,POR,23.0,46.0,0.41304347826086957,19.0,27.0,34.9,18.9,7.2,16.1,44.8,0.0,0.1,0.0,4.5,5.5,81.5,3.1,6.5,9.6,1.9,2.4,0.7,0.4,2.4,34.2,22.0,0.0,-2.0
04-05,Richard Hamilton,DET,27.0,76.0,0.6973684210526315,53.0,23.0,38.6,18.7,6.7,15.3,44.0,0.5,1.6,30.5,4.8,5.6,85.8,1.0,2.9,3.9,4.9,2.9,1.0,0.2,3.1,31.4,4.0,0.0,5.6
04-05,Stephen Jackson,IND,27.0,51.0,0.5882352941176471,30.0,21.0,35.2,18.7,6.5,16.1,40.3,2.0,5.6,36.0,3.7,4.5,83.0,0.9,4.0,4.9,2.3,2.4,1.3,0.3,3.0,30.2,2.0,0.0,2.9
04-05,Jalen Rose,TOR,32.0,81.0,0.4074074074074074,33.0,48.0,33.5,18.5,6.5,14.3,45.5,1.3,3.4,39.4,4.1,4.8,85.4,0.5,2.9,3.4,2.6,2.2,0.8,0.1,2.3,26.9,1.0,0.0,-2.3
04-05,Yao Ming,HOU,24.0,80.0,0.625,50.0,30.0,30.7,18.3,6.7,12.2,55.2,0.0,0.0,0.0,4.9,6.2,78.3,2.6,5.8,8.4,0.8,2.5,0.4,2.0,3.7,34.3,24.0,0.0,1.7
